winner;from;to
00002000;348080;348198
00002000;348538;348656
00002000;348996;349114
00002000;349454;349572
00002000;349912;350030
00002000;350370;350488
00002000;350828;350946
00002000;351286;351404
00002000;351744;351862
00002000;352202;352320
00002000;352660;352778
00002000;353118;353236
00002000;353576;353694
00002000;354034;354152
00002000;354492;354610
00002000;354950;355068
00002000;355408;355526
00002000;355866;355984
00002000;356324;356442
00002000;356782;356900
00002000;357240;357357
00002000;357698;357814
00002000;358156;358271
00002000;358614;358728
00002000;359072;359185
00002000;359530;359642
00002000;359988;360099
00002000;360446;360556
00002000;360904;361013
00002000;361362;361470
00002000;361820;361927
00002000;362278;362384
00002000;362736;362841
00002000;363194;363298
00002000;363652;363755
00002000;364110;364212
00002000;364568;364669
00002000;365026;365126
00002000;365484;365583
00002000;365942;366040
00002000;366400;366497
00002000;366858;366954
00002000;367316;367411
00002000;367774;367868
00002000;368232;368325
00002000;368690;368782
00002000;369148;369239
00002000;369606;369696
00002000;370064;370153
00002000;370522;370610
00002000;370980;371067
00002000;371438;371524
00002000;371896;371981
00002000;372354;372438
00002000;372812;372895
00002000;373270;373352
00002000;373728;373809
00002000;374186;374266
00002000;374644;374723
00002000;375102;375180
00002000;375560;375638
00002000;376018;376096
00002000;376476;376554
00002000;376934;377012
00002000;377392;377470
00002000;377850;377928
00002000;378308;378386
00002000;378766;378844
00002000;379224;379302
00002000;379682;379760
00002000;380140;380218
00002000;380598;380676
00002000;381056;381134
00002000;381514;381592
00002000;381972;382050
00002000;382430;382508
00002000;382888;382966
00002000;383346;383424
00002000;383804;383882
00002000;384262;384340
00002000;384720;384798
00002000;385178;385256
00002000;385636;385714
00002000;386094;386172
00002000;386552;386630
00002000;387010;387088
00002000;387468;387546
00002000;387926;388004
00002000;388384;388462
00002000;388842;388920
00002000;389300;389378
00002000;389758;389836
00002000;390216;390294
00002000;390674;390752
00002000;391132;391226
00002000;391590;391685
00002000;392048;392144
00002000;392506;392603
00002000;392964;393062
00002000;393422;393521
00002000;393880;393980
00002000;394338;394439
00002000;394796;394898
00002000;395254;395357
00002000;395712;395816
00002000;396170;396275
00002000;396628;396734
00002000;397086;397193
00002000;397544;397652
00002000;398002;398111
00002000;398460;398570
00002000;398918;399029
00002000;399376;399488
00002000;399834;399947
00002000;400292;400406
00002000;400750;400865
00002000;401208;401324
00002000;401666;401783
00002000;402124;402242
00002000;402582;402700
00002000;403040;403158
00002000;403498;403616
00002000;403956;404074
00002000;404414;404532
00002000;404872;404990
00002000;405330;405448
00002000;405788;405906
00002000;406246;406364
00002000;406704;406822
00002000;407162;407280
00002000;407620;407738
00002000;408078;408196
00002000;408536;408654
00002000;408994;409112
00002000;409452;409570
00002000;409910;410028
00002000;410368;410486
00002000;410826;410944
00002000;411284;411402
00002000;411742;411860
00002000;412200;412318
00002000;412658;412776
00002000;413116;413233
00002000;413574;413690
00002000;414032;414147
00002000;414490;414604
00002000;414948;415061
00002000;415406;415518
00002000;415864;415975
00002000;416322;416432
00002000;416780;416889
00002000;417238;417346
00002000;417696;417803
00002000;418154;418260
00002000;418612;418717
00002000;419070;419174
00002000;419528;419631
00002000;419986;420088
00002000;420444;420545
00002000;420902;421002
00002000;421360;421459
00002000;421818;421916
00002000;422276;422373
00002000;422734;422830
00002000;423192;423287
00002000;423650;423744
00002000;424108;424201
00002000;424566;424658
00002000;425024;425115
00002000;425482;425572
00002000;425940;426029
00002000;426398;426486
00002000;426856;426943
00002000;427314;427400
00002000;427772;427857
00002000;428230;428314
00002000;428688;428771
00002000;429146;429228
00002000;429604;429685
00002000;430062;430142
00002000;430520;430599
00002000;430978;431056
00002000;431436;431514
00002000;431894;431972
00002000;432352;432430
00002000;432810;432888
00002000;433268;433346
00002000;433726;433804
00002000;434184;434262
00002000;434642;434720
00002000;435100;435178
00002000;435558;435636
00002000;436016;436094
00002000;436474;436552
00002000;436932;437010
00002000;437390;437468
00002000;437848;437926
00002000;438306;438384
00002000;438764;438842
00002000;439222;439300
00002000;439680;439758
00002000;440138;440216
00002000;440596;440674
00002000;441054;441132
00002000;441512;441590
00002000;441970;442048
00002000;442428;442506
00002000;442886;442964
00002000;443344;443422
00002000;443802;443880
00002000;444260;444338
00002000;444718;444796
00002000;445176;445254
00002000;445634;445712
00002000;446092;446170
00002000;446550;446628
00002000;447008;447103
00002000;447466;447562
00002000;447924;448021
00002000;448382;448480
00002000;448840;448939
00002000;449298;449398
00002000;449756;449857
00002000;450214;450316
00002000;450672;450775
00002000;451130;451234
00002000;451588;451693
00002000;452046;452152
00002000;452504;452611
00002000;452962;453070
00002000;453420;453529
00002000;453878;453988
00002000;454336;454447
00002000;454794;454906
00002000;455252;455365
00002000;455710;455824
00002000;456168;456283
00002000;456626;456742
00002000;457084;457201
00002000;457542;457660
00002000;458000;458118
00002000;458458;458576
00002000;458916;459034
00002000;459374;459492
00002000;459832;459950
00002000;460290;460408
00002000;460748;460866
00002000;461206;461324
00002000;461664;461782
00002000;462122;462240
00002000;462580;462698
00002000;463038;463156
00002000;463496;463614
00002000;463954;464072
00002000;464412;464530
00002000;464870;464988
00002000;465328;465446
00002000;465786;465904
00002000;466244;466362
00002000;466702;466820
00002000;467160;467278
00002000;467618;467736
00002000;468076;468194
00002000;468534;468652
00002000;468992;469109
00002000;469450;469566
00002000;469908;470023
00002000;470366;470480
00002000;470824;470937
00002000;471282;471394
00002000;471740;471851
00002000;472198;472308
00002000;472656;472765
00002000;473114;473222
00002000;473572;473679
00002000;474030;474136
00002000;474488;474593
00002000;474946;475050
00002000;475404;475507
00002000;475862;475964
00002000;476320;476421
00002000;476778;476878
00002000;477236;477335
00002000;477694;477792
00002000;478152;478249
00002000;478610;478706
00002000;479068;479163
00002000;479526;479620
00002000;479984;480077
00002000;480442;480534
00002000;480900;480991
00002000;481358;481448
00002000;481816;481905
00002000;482274;482362
00002000;482732;482819
00002000;483190;483276
00002000;483648;483733
00002000;484106;484190
00002000;484564;484647
